activation,optimizer,learning_rate,architecture,batch_size,training_time,val_metrics,test_metrics,train_loss_history,val_loss_history
relu,mini_batch,0.01,"[5000, 128, 90]",32,11.979126453399658,"{'Hamming Loss': array(0.00495495), 'Accuracy': array(0.69240669), 'Precision': array(0.94460641), 'Recall': array(0.67746994), 'F1 Score': array(0.7890411)}","{'Hamming Loss': array(0.00529609), 'Accuracy': array(0.71149387), 'Precision': array(0.8738242), 'Recall': array(0.71955128), 'F1 Score': array(0.78921928)}","[0.05919760176392172, 0.042470064761438116, 0.03978482145859575, 0.03621238478619784, 0.03355595750678342, 0.031040244430273898, 0.02951543026539212, 0.02758689229984497, 0.02646279978619569, 0.024857631543847538, 0.023786210140505634, 0.022785278255730904, 0.02206026376832363, 0.021107584161229754, 0.020494942981709986, 0.0196531194989926, 0.018895039188689854, 0.018261465599641584, 0.017712662763153184, 0.01703890879911848]","[0.04344039968219102, 0.040934545512839496, 0.03726167230976036, 0.034164017494177634, 0.032160529884596584, 0.029839838219649542, 0.028175671346782585, 0.02708629387604499, 0.026827962743456984, 0.02499312874992238, 0.0237348336283504, 0.022640045147950073, 0.022030911676142552, 0.02147085793301378, 0.02108756727443578, 0.01990100326401726, 0.01943881366663002, 0.018976665798923206, 0.01836460400580459, 0.017874299293375896]"
relu,mini_batch,0.01,"[5000, 128, 90]",32,11.267723321914673,"{'Hamming Loss': array(0.0042757), 'Accuracy': array(0.74646075), 'Precision': array(0.93456709), 'Recall': array(0.73915316), 'F1 Score': array(0.82545242)}","{'Hamming Loss': array(0.00491701), 'Accuracy': array(0.73898642), 'Precision': array(0.84657455), 'Recall': array(0.7855235), 'F1 Score': array(0.81490718)}","[0.05959561363582948, 0.042441918137636835, 0.03965907941158734, 0.03667548186271636, 0.033178304910998414, 0.030936735384070876, 0.028854092856500174, 0.027237691745991405, 0.02590525667717834, 0.024765962674554515, 0.023558202202947465, 0.02268271045900972, 0.02176922263948113, 0.020732881338738147, 0.020038686859260874, 0.019259404795319676, 0.018615882402657165, 0.017905129142229474, 0.01731498871373056, 0.016659069582033222, 0.01614683771770145, 0.015690444164134964, 0.015179884558798873, 0.01484026274385118, 0.014318810353531055, 0.014059829608287087, 0.013614878863955873, 0.013216496691704938, 0.012868876936326863, 0.012585524873396425]","[0.04362672337035514, 0.04055689362566482, 0.03817899508786217, 0.03488241118168721, 0.03172958589519372, 0.029619668924360493, 0.027736675054135865, 0.02650505217418157, 0.02546377592776151, 0.0242014009990464, 0.023385123384936937, 0.022364041032433547, 0.02180194265886178, 0.02147110728819797, 0.020418866591597886, 0.019689485193432468, 0.01883984377825146, 0.019245107806624612, 0.01856949666751533, 0.01786481499456849, 0.017870523392853766, 0.017163199716319435, 0.01652901476932578, 0.016239325975550875, 0.016254443207544118, 0.015596767544604432, 0.015536703755706325, 0.015305762816335562, 0.014896211201349353, 0.014805699309945568]"
relu,mini_batch,0.01,"[5000, 128, 64, 90]",32,8.67526388168335,"{'Hamming Loss': array(0.00444015), 'Accuracy': array(0.74646075), 'Precision': array(0.92724868), 'Recall': array(0.73288029), 'F1 Score': array(0.81868613)}","{'Hamming Loss': array(0.00497589), 'Accuracy': array(0.74561113), 'Precision': array(0.88780804), 'Recall': array(0.73130342), 'F1 Score': array(0.8019918)}","[0.06167518177136084, 0.04254531492866603, 0.04005790695905819, 0.03688993685560913, 0.033937030469283785, 0.031098384140935752, 0.02825601498245471, 0.02539901107866565, 0.024629585411855746, 0.021618695090915047, 0.020619476531382446, 0.020057418963753182, 0.018828389253260903, 0.018372759742796962, 0.01763964543933344, 0.01633086875977473, 0.015556383521053284, 0.014055360060864643, 0.013587496919077114, 0.013639456276616627]","[0.0427740735702145, 0.03909786515394834, 0.03583010253019705, 0.03482376159711448, 0.02870126291597988, 0.04954551222272821, 0.025140332211277195, 0.02231489621165472, 0.02131273790084525, 0.02239969535769243, 0.01950889790045913, 0.01949254487254353, 0.016692447959426527, 0.018702847762654327, 0.016108184450702143, 0.018268741554643968, 0.01511922655320321, 0.014984999849691967, 0.015096877846850824, 0.01469083735022565]"
relu,mini_batch,0.01,"[5000, 128, 64, 90]",32,13.09793472290039,"{'Hamming Loss': array(0.00371085), 'Accuracy': array(0.7960103), 'Precision': array(0.93508115), 'Recall': array(0.78306325), 'F1 Score': array(0.85234708)}","{'Hamming Loss': array(0.00419565), 'Accuracy': array(0.77972839), 'Precision': array(0.8940678), 'Recall': array(0.78899573), 'F1 Score': array(0.83825199)}","[0.06185418756483546, 0.04282919030656567, 0.040729394763913004, 0.03859777077047028, 0.0351912301676912, 0.033271096031928196, 0.029378572861488372, 0.027517747141666563, 0.02451024628148245, 0.02428631663700087, 0.022087026169199064, 0.020651967888743364, 0.018891204603960488, 0.018156274163481107, 0.016384016448589372, 0.016067555265632805, 0.015443743747269107, 0.014904336966283386, 0.013786193630696658, 0.013785455529133546, 0.012209910622571686, 0.012303524298869422, 0.011700399822109889, 0.010875023783433989, 0.010904277271219546, 0.0098222934051099, 0.010025321568654261, 0.009885864372183686, 0.009118989695734346, 0.009133167589568824]","[0.04258039834701226, 0.039167462535685586, 0.03697803435792183, 0.04070235772130116, 0.030838374813049903, 0.028795049338318075, 0.026273912946487385, 0.02468727821756744, 0.022172127994055314, 0.022654010619798128, 0.020411247803628473, 0.017957717464190427, 0.017532164404120615, 0.016689009424231144, 0.015734757910669993, 0.015994583959631842, 0.015418120906702287, 0.01559940809770522, 0.014067531904306697, 0.013837126567823056, 0.014739871415279788, 0.01553920355307913, 0.01280514195540763, 0.013777974432728777, 0.013147050235977, 0.014504417584134224, 0.012509699970955562, 0.0134280554025712, 0.012526141417302772, 0.012393365175928744]"
relu,mini_batch,0.001,"[5000, 128, 90]",32,7.384960889816284,"{'Hamming Loss': array(0.01028171), 'Accuracy': array(0.30952381), 'Precision': array(0.98767967), 'Recall': array(0.25143753), 'F1 Score': array(0.40083333)}","{'Hamming Loss': array(0.01010268), 'Accuracy': array(0.33885393), 'Precision': array(0.97707736), 'Recall': array(0.27323718), 'F1 Score': array(0.42705072)}","[0.10126586628266104, 0.04872372700122658, 0.048049341570831815, 0.04729943784796492, 0.0463288400610085, 0.04543734575942347, 0.04462021243550149, 0.043861630117993725, 0.043410181195672685, 0.043029795148054883, 0.042608389273514055, 0.04215417773593147, 0.04162030654382631, 0.04139763407207487, 0.041034612527821916, 0.040683674688674266, 0.04049355151653141, 0.040020766196146675, 0.03977104431309861, 0.039299374035123485]","[0.049578749436476326, 0.04859498747382639, 0.04766928474640463, 0.04681790748193278, 0.045997419504020545, 0.04492521664411143, 0.044265493009258444, 0.04358568092396013, 0.04299619945235799, 0.04254112801093574, 0.04234473583990598, 0.04180597526391191, 0.04145527930979232, 0.04113911147267652, 0.04082161766791271, 0.040507393382065805, 0.04012148222857254, 0.03986793654025196, 0.039502905106469824, 0.03924236584541727]"
relu,mini_batch,0.001,"[5000, 128, 90]",32,11.124183654785156,"{'Hamming Loss': array(0.00865866), 'Accuracy': array(0.45109395), 'Precision': array(0.98885794), 'Recall': array(0.3711448), 'F1 Score': array(0.53971874)}","{'Hamming Loss': array(0.00796069), 'Accuracy': array(0.52467705), 'Precision': array(0.97307002), 'Recall': array(0.43429487), 'F1 Score': array(0.60055402)}","[0.10139342319153308, 0.04897782427053876, 0.04828393617347014, 0.04774937919475325, 0.046817028041439855, 0.04586857973106208, 0.0450197243970796, 0.044220022737320036, 0.04358657841559205, 0.042953018246847545, 0.04245756728942944, 0.042234887146838054, 0.04165178378943869, 0.04133897446392863, 0.04101021239066614, 0.04056907423690652, 0.04026923058656255, 0.03985243256448308, 0.03952062917974467, 0.039156306791184724, 0.03885288077733023, 0.0383606743656609, 0.038026854843602104, 0.037627330956363385, 0.03751339683932118, 0.03692342966268167, 0.036631444397053826, 0.03624020890356017, 0.03577124275892121, 0.03556657263361283]","[0.04945418554831374, 0.048603467503807, 0.0479525978026384, 0.04728296426488435, 0.046400856987167095, 0.04575335484762005, 0.044575177451570136, 0.04380032706558459, 0.04317719255975458, 0.04271740416472651, 0.042339968317450745, 0.04177998487555806, 0.041677454518462165, 0.04104239502454626, 0.040727780414343176, 0.04050068891724809, 0.03999916864089933, 0.03970183784616248, 0.03936599395048926, 0.03892279694384473, 0.038543964104437944, 0.038321235030736804, 0.037943273835632535, 0.037553590645169006, 0.03713786705944828, 0.03678325542272733, 0.0364424804390732, 0.036263409760597186, 0.035834122667992976, 0.035433236576351446]"
relu,mini_batch,0.001,"[5000, 128, 64, 90]",32,8.758032321929932,"{'Hamming Loss': array(0.00752181), 'Accuracy': array(0.54054054), 'Precision': array(0.96540541), 'Recall': array(0.46680606), 'F1 Score': array(0.62931642)}","{'Hamming Loss': array(0.00723934), 'Accuracy': array(0.57634978), 'Precision': array(0.92860589), 'Recall': array(0.51415598), 'F1 Score': array(0.66185319)}","[0.08156899656013593, 0.049054906610142626, 0.048027837841284664, 0.045732837984188306, 0.04340065572758486, 0.042090115886996425, 0.04117475167805185, 0.04041044162657757, 0.039626170372545906, 0.03888776617054323, 0.037916169279901366, 0.03684155027512896, 0.03602568775609832, 0.034720866719439615, 0.03374441861804904, 0.03283194930221793, 0.032219808688142546, 0.031610593218096485, 0.030950045537696806, 0.03043803616537753]","[0.04910089562149466, 0.048442466513059314, 0.04664613038808614, 0.04438199377291163, 0.04238409658652439, 0.041396973919439195, 0.04047887265907294, 0.0399633200756231, 0.03891210493522504, 0.03823563501731176, 0.03740157967531556, 0.03687920646304261, 0.03521067690663141, 0.03465644073582418, 0.033237285075718236, 0.032655782569799854, 0.03207593530934432, 0.03133696662449693, 0.03071643245719024, 0.03038133189560039]"
relu,mini_batch,0.001,"[5000, 128, 64, 90]",32,13.249405860900879,"{'Hamming Loss': array(0.00700701), 'Accuracy': array(0.54568855), 'Precision': array(0.94898941), 'Recall': array(0.51542081), 'F1 Score': array(0.66802168)}","{'Hamming Loss': array(0.00696331), 'Accuracy': array(0.59589268), 'Precision': array(0.88169827), 'Recall': array(0.5713141), 'F1 Score': array(0.69335494)}","[0.08660421944083449, 0.04890440065952548, 0.047652375967252934, 0.04525115682148082, 0.04335643647426182, 0.042153582205937457, 0.04128222003955811, 0.04045099082534661, 0.03986339630798079, 0.03939522608191009, 0.0386857390119091, 0.03805949501734945, 0.037490743927893734, 0.036733357503512004, 0.03569962327242641, 0.03455949716301103, 0.033313981879042914, 0.03240009179592244, 0.03158090666179094, 0.03071436068678106, 0.029923356051553267, 0.029523129909080896, 0.028746206366550207, 0.02815123143195941, 0.027792575710638364, 0.027301243520265486, 0.02675354150620338, 0.02650970244855474, 0.026052109369423315, 0.025502350134153102]","[0.049001576077264526, 0.04850863432262692, 0.04649003053982994, 0.043762748990725436, 0.042095093523921434, 0.04128503399610892, 0.04053024292070818, 0.04041261213419047, 0.039410465059967946, 0.03874083194712715, 0.03811479118665775, 0.037463823025385375, 0.03727025970850875, 0.036039491301645715, 0.035071021663365815, 0.034047376458385244, 0.03348191168002156, 0.03206453054491922, 0.031169931831922407, 0.03078436141640618, 0.029873591978170796, 0.029342777639652585, 0.028860232525706072, 0.028318636296609478, 0.02798690671698666, 0.027465755754933013, 0.027169448655476817, 0.027277133059072794, 0.02637017714042747, 0.026338914505729432]"
relu,batch,0.01,"[5000, 128, 90]",32,2.387580394744873,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6930889361957009, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.01,"[5000, 128, 90]",32,3.579751968383789,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6934245624442376, 0.2526236461277879, 0.25262364612776095, 0.2526236461277338, 0.25262364612770655, 0.2526236461276793, 0.25262364612765187, 0.25262364612762434, 0.2526236461275968, 0.25262364612756905, 0.2526236461275413, 0.25262364612751337, 0.25262364612748534, 0.25262364612745725, 0.25262364612742905, 0.25262364612740074, 0.2526236461273723, 0.2526236461273438, 0.25262364612731514, 0.25262364612728644, 0.2526236461272576, 0.25262364612722865, 0.2526236461271996, 0.2526236461271704, 0.25262364612714117, 0.2526236461271118, 0.2526236461270823, 0.25262364612705274, 0.25262364612702304, 0.25262364612699323]","[0.25195739226088965, 0.25195739226086283, 0.25195739226083597, 0.251957392260809, 0.25195739226078195, 0.2519573922607548, 0.2519573922607275, 0.2519573922607002, 0.2519573922606727, 0.2519573922606452, 0.25195739226061753, 0.2519573922605898, 0.2519573922605619, 0.25195739226053393, 0.25195739226050584, 0.2519573922604777, 0.25195739226044944, 0.2519573922604211, 0.2519573922603926, 0.25195739226036407, 0.2519573922603353, 0.25195739226030656, 0.2519573922602777, 0.25195739226024866, 0.25195739226021957, 0.2519573922601903, 0.25195739226016106, 0.2519573922601316, 0.25195739226010205, 0.2519573922600724]"
relu,batch,0.01,"[5000, 128, 64, 90]",32,2.4038233757019043,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6924140533350341, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.01,"[5000, 128, 64, 90]",32,3.602982521057129,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6928301316816243, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.001,"[5000, 128, 90]",32,2.3888542652130127,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.692603205345883, 0.06927774020414233, 3.261710156455122, 0.2621675343021102, 0.10969031879598436, 0.08647630360663858, 0.0770834923137548, 0.07199855943174217, 0.06869992219737285, 0.06655477247355494, 0.0647612038436789, 0.06319065120091255, 0.061814691001814595, 0.060616399801859774, 0.05958374878569688, 0.05870439936469413, 0.05796206313284537, 0.05733576234223916, 0.056802309267902334, 0.05634044156428496]","[0.07024173929989024, 3.2607863331846967, 0.26385058978720743, 0.11002997804992264, 0.08701353817149454, 0.07776888202038229, 0.0728123185652622, 0.06959721827069278, 0.06746026622503465, 0.06563762490541833, 0.06403797083807312, 0.06263456986221377, 0.06141001093329149, 0.060351864775045866, 0.05944738832458813, 0.05867999117513863, 0.05802853424651895, 0.05746991809243893, 0.0569831883531021, 0.05655225040468181]"
relu,batch,0.001,"[5000, 128, 90]",32,3.5828969478607178,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6930423232355881, 0.07354224769542048, 1.8260257161309024, 0.403109770066792, 0.21888669127883043, 0.09124836669329532, 0.07837356910423149, 0.07268480796003278, 0.06973011294027319, 0.0672807734515422, 0.06518581431457082, 0.06336184556930825, 0.061761334813856754, 0.06035710196075645, 0.05913362957760555, 0.05808083627004502, 0.057188833571761105, 0.05644371921417552, 0.05582567575566277, 0.05531057214617782, 0.05487420241588634, 0.05449625283247762, 0.05416181864495621, 0.053860737575220786, 0.053586181052200414, 0.05333346250148555, 0.05309927024562935, 0.0528812101731954, 0.05267751960853675, 0.05248687198573336]","[0.07383187567374185, 1.8266756902555106, 0.40405290393047927, 0.21754096533799674, 0.09118020918741612, 0.07822205868560576, 0.07254592855140612, 0.06958358390155221, 0.0671284390695403, 0.06502779327372256, 0.06319916430023055, 0.06159488222175084, 0.06018804532367451, 0.05896313914069772, 0.05791008606835767, 0.057018873400959146, 0.056275446902369214, 0.05565985607675542, 0.05514794022027741, 0.05471558495879642, 0.05434264533423394, 0.054014377408552854, 0.053720703406530984, 0.05345477664386423, 0.05321180015767002, 0.052988288722142715, 0.05278164247983138, 0.05258988616260274, 0.05241149097450858, 0.05224524316515924]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,2.401383399963379,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.69311421617058, 0.2074896951965417, 7.813809197778569, 4.189736546197688, 0.35601076036508894, 0.280764265797289, 0.2732553447384236, 0.07774820342297467, 0.07126870417108322, 0.06643875825314828, 0.06332917825780991, 0.06161981151336577, 0.06035727890042507, 0.05918208451357344, 0.058105093446439306, 0.05700590492678933, 0.055785064826966935, 0.054546324529091327, 0.05386558133173412, 0.05825747426114931]","[0.20723733116596846, 7.813044548284544, 4.190293305309379, 0.3563711797306393, 0.27912513621798424, 0.2724832436965902, 0.07699561007681056, 0.07069518488403145, 0.0660418594356613, 0.06307140371889561, 0.06143140256215345, 0.060179204918104176, 0.0590169243498121, 0.057949284097184035, 0.05686610610260228, 0.055665595773840525, 0.05445503783313249, 0.053779847485841185, 0.058153486371686706, 0.0614009536859589]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,3.6013386249542236,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6929283776143698, 0.3141634963509552, 7.82811627164229, 4.7559476661729985, 1.6268127964776156, 0.21441533550322078, 0.2934433759852876, 0.28493531993515486, 0.28543121272314886, 0.28336737003591694, 0.2790597658063147, 0.27706645431060883, 0.27434918170817696, 0.08431990844158448, 0.07065263231896873, 0.06848990740741841, 0.06689486093010935, 0.0655546117739498, 0.06439203952473531, 0.0633586491916857, 0.06242091608767484, 0.06155590735180772, 0.060749251375026014, 0.05999290282386321, 0.05928309761431592, 0.058618792605182254, 0.0580004597256344, 0.05742900522700816, 0.05690474309876989, 0.05642658060792751]","[0.31389760977023284, 7.828665228354086, 4.754779416638059, 1.6290743687554146, 0.21695248069913978, 0.29320877347382324, 0.2838685607196349, 0.28395206338546797, 0.2827206437703276, 0.2785863696628347, 0.2755562778127594, 0.2724717543990394, 0.08459360653275068, 0.07103347927664147, 0.06891078038918451, 0.06731604137414864, 0.06597329278030925, 0.06480472729171018, 0.06376321723293928, 0.06281531014260772, 0.06193875799029027, 0.06111957215125114, 0.06035013678601102, 0.05962697520992776, 0.05894927962725871, 0.05831769145925359, 0.05773325962939319, 0.057196427689319984, 0.05670623958408352, 0.05626002464735485]"
